source,smiles,log_reward
guided,CCC(=O)N1N=C(c2ccc(C(=O)NCCc3ccccc3)cc2)C[C@H]1c1ccco1,-0.9080412983894348
guided,COC(=O)N1/C(=C\C=C\c2ccccc2)C=C[C@]1(C)C(=O)NCc1ccccn1,-1.0796602964401245
guided,COCCSc1nc(Cc2ccc(C)cc2)nc2ccccc12,-5.598575115203857
guided,O=S(=O)(c1cccs1)N1CCC(O)(c2cccc(C(F)(F)F)c2)CC1,-2.2923836708068848
guided,CC(C)(C)c1ccc(S(=O)(=O)NCC(=O)N2CCCC2)cc1,-1.413512945175171
guided,O=C(c1nc2ccccc2c(=O)[nH]1)c1cccc2ccccc12,-1.877402663230896
guided,NS(=O)(=O)c1ccc(/C=C2\NN(c3ccccc3Cl)C(=O)C2=O)cc1,-0.7017530798912048
guided,O=C(NNc1ccc(Cl)c(C(=O)O)c1)Nc1cccc(C(F)(F)F)c1,-0.6797727942466736
guided,Cc1cc(C)cc(OCC(=O)Nc2cccc3ccccc23)c1,-5.069124221801758
guided,COc1cc(CCC(=O)NNC(=O)c2ccc(C)o2)cc(OC)c1OC,-0.7350343465805054
guided,NS(=O)(=O)c1ccc(CCNC(=O)CN2CCN(Cc3ccccc3)CC2)cc1,-0.40970292687416077
guided,NS(=O)(=O)c1ccc(CCNc2cc(C(F)(F)F)nc3ccccc23)cc1,-0.6615809798240662
guided,Fc1ccccc1/C=N/C=[NH+]/c1[c-]c(N2CCOCC2)ncn1,-1.659712791442871
guided,[N-]=C1[O+]=[S@]1(=O)C/C(=N\c1ccc(Br)cc1)c1ccc2c(c1)OCO2,-0.7488271594047546
guided,COC(=O)C(C)(C)ONC(=O)Nc1ccccc1[N+](=O)[O-],-0.8063850998878479
guided,CCCCOc1ccc(N/C=N/C(=O)c2cccn2C)cc1,-2.581913709640503
guided,COc1cc(/C=N/N(C)C)cc(Br)c1OCC(=O)O,-1.3714022636413574
guided,[H+].[H+].[S-][C+]1N([C+]2[C][C][C][C][C-]2O[c+]2[cH-][cH+][c-](Cl)[c+](Cl)[cH-]2)[CH+][CH+][C+]2CCCCN21,-9.752714157104492
guided,O=C(NCCOc1ccc2ccccc2c1)c1ccc([N+](=O)[O-])cc1,-0.6369832158088684
guided,COC(=O)C1=C(C)N(Cc2cccs2)/C(=N/Cc2cc(OC)c(OC)c(OC)c2)N[C@H]1c1ccc(N(C)C)cc1,-0.8455480933189392
guided,CCOc1cc(/C=N\NC(N)=S)ccc1OCC(=O)O,-0.7254884839057922
guided,BrCC[C@H]1[CH-][C@@H]1/C=C\C[CH+]CN1CCOCC1,-10.690436363220215
guided,[CH][C]COCCOC[CH+]OCCN[c+]1[n-][c+](N2CCOCC2)[n-][c+](N2CCN(C[c+]3[cH-][cH+][cH-][cH+][cH-]3)CC2)[n-]1,-0.6371499300003052
guided,C[C]/C(C(=O)Nc1cccc(-c2cnc3ccccc3n2)c1)=C(/[O-])NC[C+]1=CC=C2OCOC2=C1,-0.5100989937782288
guided,[N][C][C][C]([NH+][C]1[CH][CH][CH-][CH][C]1O[C]1[CH][CH][CH][N][CH]1)[O+][C]1[CH][CH][CH][C]2[CH][CH][CH][CH][C]21,-1.4642133712768555
guided,[CH2-]CC(=O)NC1=C=[N+]=CC(NC(=O)Nc2ccccc2)=C1C,-0.7861243486404419
guided,C[C-]([CH+]C1[C+]([O-])[N-][C+]2SCC(O)N2[C-]1[O-])[S+2]([O-])([O-])[c+]1[cH-][cH+][c-](Cl)[cH+][cH-]1.[H+],-0.6054210066795349
guided,COc1cccc(Oc2[c-]ccc3ccccc23)c1.O=P(O)=[OH+],-0.8546675443649292
guided,CCCCCNc1ccc(C(=O)O)cc1,-3.3296403884887695
guided,O=C(O)c1cc2cc(/C=C/c3ccc(-c4ccc5ccccc5n4)c(=O)[nH]3)ccc2o1,-0.8422443270683289
guided,COc1cc2nc3ccccc3nc2cc1OC,-4.18492317199707
guided,Cc1nc2cc(/C=C/C(N)=O)[nH]n2c(=O)c1/C(=N\c1ccc(Br)s1)c1ccccc1,-0.7211076617240906
guided,S=c1[nH]nc(-c2ccco2)n1/N=C/C=C/c1ccco1,-1.288720726966858
guided,Cc1cnccc1CN(C)Cc1cn(C)nc1-c1ccc2c(c1)OCO2,-2.988373041152954
guided,COc1ccc(Cn2nnc3c(=O)[nH]c(C4CCN(S(=O)(=O)c5ccc(S(=O)(=O)N(C)C)cc5)CC4)nc32)cc1C,-0.5578677654266357
guided,O=C(NNC(=O)c1ccccc1O)c1cccnc1,-0.7050532102584839
guided,CCOC(=O)CC(=O)Nc1ccccc1C(C)C,-2.6171276569366455
guided,NCCSCc1ccc2c(c1)OCO2,-4.252912998199463
guided,CC(C)Sc1nnc2n(CCc3ccccc3)c(=O)c3c4c(sc3n12)COC(C)(C)C4,-2.136221170425415
guided,CS(=O)(=O)N(CC(=O)NN)c1cccc([N+](=O)[O-])c1,-0.7550764083862305
guided,COc1cccc(Nc2nnc(SCC(=O)NC(=O)c3cccn3C)s2)c1,-0.7273918986320496
guided,C[P@@](=O)(NC1=NCCCCC1)Oc1ccccc1,-3.1973211765289307
guided,COP(=O)(NS(=O)(=O)c1ccccc1)OC,-1.0997867584228516
guided,O=C(NC1CCCC1)[C@H]1CC[C@@H](CNS(=O)(=O)c2ccc3ccccc3c2)CC1,-0.801589846611023
guided,Fc1cc(CSC2=NCCS2)ccn1,-7.861526012420654
guided,CN(C=O)c1nc2c(N)ncnc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,-0.7846794724464417
guided,COC/C=C\O[C@]1(C)Oc2cccc(-c3nnc(CCCOC)o3)c2C1=O,-0.5445850491523743
guided,O=C(OCn1nc2ccccc2n1)c1cc(-c2cccs2)nc2ccccc12,-1.3251588344573975
guided,Cc1ccc(NC(=O)c2cccs2)c(O)c1,-3.431198835372925
guided,O=S(=O)(CCc1ccccc1)OCCSc1nc2ccccc2n1Cc1ccc(F)cc1,-1.973433256149292
guided,COc1ccc([C@H](c2cnn(C)c2)c2c(C)[nH]n(-c3ccccc3)c2=O)cc1O,-0.6690919399261475
guided,Cc1nc([N+](=O)[O-])cn1CCCc1ccc(C(F)(F)F)cc1,-2.094282627105713
guided,Cn1nc(C(F)(F)F)c(C#N)c1N1CCN(c2ccccc2)CC1,-3.595858097076416
guided,O=C(NCCCn1c(Cc2ccncc2)nc2ccccc21)c1ccc(OCc2ccccc2)cc1,-1.4987927675247192
guided,COc1ccccc1OP(#[O+])Nc1ccc(C)cc1.[CH3-],-3.452528476715088
guided,FC(F)(F)COCCN/C=C/c1ccccc1,-8.540411949157715
guided,C[C@H](O)CNC[C@H](O)c1ccc2ccccc2c1,-2.8527181148529053
guided,CCOc1ccc(C(=O)N2CCC3(CC2)NCCc2[nH]cnc23)cc1OCC,-0.6999963521957397
guided,O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1ccc(C(=O)NC[C@H]2CCCO2)cc1,-0.44659143686294556
guided,[O][C](N[N][CH][C]1[CH][CH][C](N([O-])[O-])O1)C(O)[C+]1[CH][CH][CH][CH][CH]1,-0.7839297652244568
guided,CC[OH+][CH-]O[C-]1CCN[C+]([O-])OC(C)[CH+]OC2(OCCO2)C(C)(C)[CH-]O[S+2]([O-])([O-])CC1,-0.7621114253997803
guided,COc1ccc(/N=N\c2c[nH]n(-c3ccc(Cl)cc3)c2=O)cc1,-1.2486556768417358
guided,O=NN1CCN(C(=O)c2cccs2)CC1,-2.9987940788269043
guided,O=c1[nH]c2ccc(Cl)cc2o1,-4.169875621795654
guided,NCCO[C]1[N]N([C+]2[CH][CH][CH][CH][CH]2)[CH][C]1N([O-])[O-],-0.7445307374000549
guided,O=C(CSc1ccc2nnc(-c3ccc(F)cc3)n2n1)N1CCOCC1,-1.0746427774429321
guided,O=C(Nn1cnc2ccccc2c1=O)c1cccc(Cl)c1,-1.8162801265716553
guided,Cl[C]1[CH][CH][C](C[O+][N][C]C2CCCCC2)[CH][CH]1,-7.866573333740234
guided,[O-]P(CCC(F)(F)F)[c+]1[cH-][cH+][c-]2[cH+][cH-][cH+][cH-][c+]2[cH-]1,-8.05782699584961
guided,C=[O+]c1c#cc#cc1/N=[C-]/C(=O)N1CCN(c2nc(C3CC3)nc3ccccc23)CC1,-0.8894132375717163
guided,CCCCC(=O)Nc1ccc2oc(-c3ccncc3)nc2c1,-1.335147500038147
guided,COc1ccc(N(CC(=O)Nn2cnnc2)S(=O)(=O)c2ccccc2)c(OC)c1,-0.6721758842468262
guided,O=S(=O)(NCc1ccco1)c1ccc2c(c1)ncn2C1CCCC1,-0.8288717269897461
guided,CN(C)C[C@@H](Cc1ccc(Oc2ncccn2)cc1)NCCc1ccccc1,-3.0680348873138428
guided,COc1cc(NC(=O)CN(C)CC(=O)Nc2ccc(OC)c(OC)c2)ccc1C,-0.6024420261383057
guided,FC(F)(F)c1cc2ccccc2c(=S)[nH]1,-9.98704719543457
guided,CN(C)S(=O)(=O)N(CCN1CCOCC1)Cc1ccccc1,-2.7889323234558105
guided,ON/C(=N\c1ccccc1)c1ccccc1Cl,-4.054831027984619
guided,CO[C]1[CH][CH][CH][CH][C]1[CH][CH][C]([O])NC[C]([O])NN[C]([O])[C][N][O+][C]1[CH][CH][CH-][C]([O+]C)[CH]1,-0.7764553427696228
guided,NNC(=O)c1cnn(-c2ccc(F)cc2)c1,-1.3227652311325073
guided,Cl[C-]1CN(C[c+]2[cH-][cH+][c-](Cl)[cH+][c-]2Cl)CCN1,-10.002686500549316
guided,COc1ccccc1N[C@H](c1ccccc1)c1nnnn1Cc1ccccc1,-1.6234749555587769
guided,C[C-]1CCCO[C@@H]([C@@H](C)N(C)C)N1Cc1ccccc1F.[H+],-9.876333236694336
guided,O=S(=O)(CCc1nc2cc3ccccc3cc2[nH]1)c1cccc(NC2=NCCCS2)c1,-0.5993444323539734
guided,CC(C)CNC(=S)N[C@@H]1C[C@H]2CCC[C@@H](C1)N2Cc1ccccc1,-7.0535783767700195
guided,Cc1ccccc1NC(=S)NCCC(c1ccccc1)c1ccccc1,-8.047609329223633
guided,Cc1nnc(/[S+]=C2/C=CC=C/C2=C(\[O-])N2CCOCC2)s1,-1.9237359762191772
guided,Nc1nonc1-n1nnc(C(=O)N/N=C/c2ccccn2)c1-c1ccc(F)cc1,-0.7841200232505798
guided,CSc1ccc(CCC(=O)O)nn1,-2.0975475311279297
guided,Cc1cccc(OCC(=O)Nc2c(C(=O)OCc3ccco3)cnn2-c2ccccc2)c1,-0.6069597601890564
guided,[CH2-]O[c+]1[c-]2[c+]([cH-][c+]3o[c+]([O-])[cH-][cH+][c-]13)OC(C(C)C)C2,-2.774087905883789
guided,CC[C@@H](NC(=S)NC(=O)c1ccccc1C)C(=O)O,-0.9156700372695923
guided,COCC(=O)NCCn1cc(SCC(=O)Nc2cc(C)on2)c2ccccc21,-0.6031270027160645
guided,[O-][S+]([O-])O[N-][C+]([c+]1[cH-][cH+][cH-][cH+][cH-]1)C1CC1(Cl)[c+]1[cH-][cH+][cH-][cH+][cH-]1,-1.2814375162124634
guided,Cc1ccc(/C=C2/[S+]=C(N3CCCCCC3)N=C2[O-])cc1Cl,-4.834286689758301
guided,OCCN[C@@H](O)c1cccc2ccccc12,-2.845421314239502
guided,C=[N+](CCc1[c-]cccc1OCCOc1cc2c(c(F)c1C(=O)O)CCCN2)Cc1ccccc1,-1.1886504888534546
guided,CSC[C-]([C+](N)[O-])N1CCC(C[c+]2[cH-][cH+][cH-][cH+][cH-]2)CC1,-2.845597982406616
guided,COc1ccc2[nH]c3ccccc3c2c1,-7.669707298278809
guided,COCC(=O)N[C@@](Nc1nc(-c2ccc(C)cc2)cc(=O)[nH]1)(C(=O)OC)C(F)(F)F,-0.7691909074783325
guided,CCCOc1ccc(C(=O)NNC(=S)NC(=O)c2ccc(Cl)cc2Cl)cc1,-0.9076170921325684
guided,C/[S+]=C1\C=CC=C\C1=C(/[O-])Nc1nc(-c2cccnc2)cs1,-2.0873286724090576
guided,[O-]N1O[C@H]2CCCCC=[N+]2C2=CC(O)=CC=C=C21,-2.199777126312256
guided,OCc1c[nH]c2ccc(Br)cc12,-5.63907527923584
guided,COCCn1c(N)c(C(=O)NS(=O)(=O)c2ccc(C(C)(C)C)cc2)c(=O)[nH]c1=O,-0.6935973167419434
guided,CC(=O)N[C@H](C)c1ccccc1,-6.983922481536865
guided,[O-]N([O-])[c-]1[cH+][cH-][c+](OC[C-](O)CNCCO)[cH-][cH+]1,-0.563572883605957
guided,Nc1ccc2[nH]c3ccccc3[c-]2/c1=N/c1ccccc1.[H+],-2.7681097984313965
guided,N[C-]([C][CH+]C1(O)CCCCC1)[N-]N[C+]([O-])[C+]1[CH+][CH-][CH+]S1,-0.7186865210533142
guided,O=C(O)[C@H](COc1cccc(Cl)c1Cl)N1CCCCC1,-3.192206621170044
guided,[CH2-]N1CCN([N-][CH+][c+]2[cH-][cH+][c+](Cl)[n-][cH-]2)CC1,-5.809278964996338
guided,CN1[C](O[C]2[CH][CH][C](N([O-])[O-])[CH][N]2)[N][C]2[C]1[C+]([O])N(C)[C]([O])N2C,-0.8268174529075623
guided,Cn1cc(Br)c(C(=O)N/C=C\C(=O)c2ccccc2)n1,-1.8473615646362305
guided,C[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H](C)[C@@H]3CO[C@@H](CO)CO3)O[C@H](CO)[C@H](O)[C@@H]2O)[C@@H](c2ccccc2)[C@@H](O)C[C@H]1O,-0.6458028554916382
guided,O=C(O)CCCNS(=O)(=O)c1ccc2c(c1)OCCO2,-0.6931471824645996
guided,Cc1ccc(-c2cc([C]/N=[O+]\[C@@H]3C[C@@H]([C+](C)=O)[C-]([O-])O3)ccn2)cc1CO,-0.4975689947605133
guided,CN1c2ccc(Cl)cc2C[C@H](C(=O)NC2CC2)[C@]1(C)O,-2.9074952602386475
guided,CCC(=O)Nc1cccc(OC(=O)/C=C/c2ccccc2)c1,-2.5433759689331055
guided,[H+].[O-][S+]([O-])N1C=CCNc2nc3c(nc21)=C=C=C=C=3,-1.0176728963851929
guided,O=C(c1ccc(F)cc1)N1CCC(c2nc3c(nnn3Cc3ccco3)c(=O)[nH]2)CC1,-0.5452134013175964
guided,N/C(=N\O)c1ccccc1Nc1ccc(S(=O)(=O)Nc2cccc(C(F)(F)F)c2)cc1,-0.6225200295448303
guided,CN(Cc1ccc(F)cc1)C(=O)C1=C(N)/C(=C(/N)[O-])N=[S+]1,-0.7667110562324524
guided,N/C(=C\CCSc1cccc2cccnc12)c1ccc(F)cc1,-5.013301849365234
guided,COCCCNC(=O)[C@@H](Cc1ccccc1)NC(=O)CN1CCOC1=O,-0.5137389898300171
guided,O=C1Nc2cccc3ccc(S(=O)(=O)N[C@H]4CC[C@H](O)CC4)c1c23,-0.4933266043663025
guided,O=C(NC1CC1)C1CCN(S(=O)(=O)c2ccc(OC3CCCC3)cc2)CC1,-0.8285102248191833
guided,O=C(CCN1CCN(c2ccccc2F)CC1)NNC(=O)c1ccco1,-0.7149544954299927
guided,CN(C)S(=O)(=O)c1ccc(N2CCCC2=O)cc1,-2.3730862140655518
guided,CCCC[C@H](CC)CNC(=O)CN1CC(=O)N(Cc2ccc(F)cc2)CC1=O,-1.1987755298614502
guided,Cc1ccsc1CCC(=O)Nc1nnc(CC(C)C)s1,-2.8454885482788086
guided,Cn1nnc2cc(C(=O)Nc3cccnc3)ccc21,-1.1719292402267456
guided,NC(=O)c1c(NC(=O)CN2CCOCC2)sc2c1CCN(Cc1ccccc1)C2,-0.6067017912864685
guided,NS(=O)(=O)c1ccccc1C(=O)O,-0.8316523432731628
guided,O=[N+]([O-])c1ccc(N2CCOCC2)cc1Nc1ccccc1NS(=O)(=O)c1ccc(Cl)cc1,-0.5440195202827454
