rank,oracle_call,score,smiles
1,2226,0.832390,CCOc1ccccc1NC(=O)CN(C)S(=O)(=O)c1ccc2c(c1)c(=O)n(C)c(=O)n2C
2,4831,0.813288,NNC(=O)Cn1cc(S(=O)(=O)CC(=O)Nc2ccc3c(c2)OCO3)c2ccccc21
3,5563,0.812195,COCC(=O)NCCN(Cc1ccc(OC)cc1)S(=O)(=O)c1ccc2c(c1)oc(=O)n2C
4,352,0.811192,[CH2+]N(C)C[c+]1[c+]([C+]([O-])N[N-][CH-][c+]2[cH-][cH+][c-](N[C+]([O-])[c+]3[cH-][cH+][cH-]s3)[cH+][c-]2OC)[n-][n-]n1-[c+]1[n-]o[n-][c+]1N
5,9829,0.803728,COc1cc(/C=C2\[S+]=C(N)N=C2[O-])ccc1OCC(=O)Nc1ccccc1C
6,10764,0.803428,CN1CCN(C(=O)Cn2c(=O)oc3cc(S(=O)(=O)NCc4ccccc4)ccc32)CC1
7,11099,0.798993,COCCNC(=O)CN(Cc1ccco1)C(=O)C(=O)Nc1ccc(OC)cc1
8,8290,0.796065,COc1ccc(S(=O)(=O)N2CCOCC2)cc1NC(=O)CS(=O)(=O)c1ccccc1
9,10153,0.795465,NC(=O)CS(=O)(=O)c1nc2ccccc2n1Cc1ccccn1
10,6567,0.794925,COc1c[cH-]/c(=N/[C@@H]2C(=O)Nc3ccccc3/C2=[NH+]/CC(=O)NC(C)(C)C)cc1OC
11,4916,0.794543,O=C(CN1CCN(c2ccccc2O)CC1)N/N=C1\C(=O)Nc2ccccc21
12,5832,0.792039,CN(C)S(=O)(=O)Nc1ccc2c(c1)nc(CCNC(=O)c1cccnc1)n2C
13,7278,0.791833,COCCn1c(=O)c2ccccc2n(CC(=O)NCc2ccco2)c1=O
14,2229,0.791131,Cn1c(=O)c(C(=O)C/[S+]=c2\nc3ccccc3c([O-])n2Cc2ccco2)c(N)n(Cc2ccco2)c1=O
15,4309,0.787783,NC(=O)/C=C(\N)Nn1c(-c2ccc(F)cc2)nc2ccccc2c1=O
16,65,0.787702,Cn1c2[s+]c3c(c-2c([O-])n(CC(=O)NCCc2nc4ccccc4[nH]c2=O)c1=O)CC(C)(C)OC3
17,9718,0.787511,O=C(O)c1nn(CC(=O)N2CCN(c3ccccn3)CC2)c(=O)c2ccccc12
18,3802,0.786997,NNC(=O)Cn1c(CN2CCN(Cc3ccccc3)CC2)nc2ccccc2c1=O
19,1725,0.786482,CCn1c(CSc2nc3ccccc3o2)nnc1SCC(=O)NC1=[S+]C=C/C1=C(\N)[O-]
